timestamp,source,emotion,video_filename
2025-07-01T09:04:35.496684,video,ANGRY,angry.mp4
2025-07-01T09:04:35.616304,video,NEUTRAL,angry.mp4
2025-07-01T09:04:35.616304,video,ANGRY,angry.mp4
2025-07-01T09:04:35.700319,video,ANGRY,angry.mp4
2025-07-01T09:04:35.781123,video,ANGRY,angry.mp4
2025-07-01T09:04:35.864210,video,ANGRY,angry.mp4
2025-07-01T09:04:35.949233,video,ANGRY,angry.mp4
2025-07-01T09:04:36.073368,video,NEUTRAL,angry.mp4
2025-07-01T09:04:36.073368,video,ANGRY,angry.mp4
2025-07-01T09:04:36.232508,video,ANGRY,angry.mp4
2025-07-01T09:04:36.232508,video,NEUTRAL,angry.mp4
2025-07-01T09:04:36.316652,video,ANGRY,angry.mp4
2025-07-01T09:04:36.400913,video,ANGRY,angry.mp4
2025-07-01T09:04:41.855668,video,ANGRY,angry.mp4
2025-07-01T09:04:41.956743,video,ANGRY,angry.mp4
2025-07-01T09:04:41.956743,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.066918,video,ANGRY,angry.mp4
2025-07-01T09:04:42.066918,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.172664,video,ANGRY,angry.mp4
2025-07-01T09:04:42.172664,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.369893,video,ANGRY,angry.mp4
2025-07-01T09:04:42.369893,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.369893,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.369893,video,HAPPY,angry.mp4
2025-07-01T09:04:42.369893,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.508036,video,ANGRY,angry.mp4
2025-07-01T09:04:42.508036,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.508036,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.642027,video,ANGRY,angry.mp4
2025-07-01T09:04:42.642027,video,HAPPY,angry.mp4
2025-07-01T09:04:42.642027,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.750651,video,ANGRY,angry.mp4
2025-07-01T09:04:42.750651,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.859076,video,ANGRY,angry.mp4
2025-07-01T09:04:42.859076,video,NEUTRAL,angry.mp4
2025-07-01T09:04:42.966403,video,ANGRY,angry.mp4
2025-07-01T09:04:42.966403,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.073704,video,ANGRY,angry.mp4
2025-07-01T09:04:43.073704,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.180650,video,ANGRY,angry.mp4
2025-07-01T09:04:43.180650,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.289368,video,ANGRY,angry.mp4
2025-07-01T09:04:43.289368,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.400813,video,ANGRY,angry.mp4
2025-07-01T09:04:43.400813,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.511828,video,ANGRY,angry.mp4
2025-07-01T09:04:43.511828,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.621972,video,ANGRY,angry.mp4
2025-07-01T09:04:43.621972,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.768458,video,ANGRY,angry.mp4
2025-07-01T09:04:43.768458,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.768458,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.909416,video,ANGRY,angry.mp4
2025-07-01T09:04:43.909416,video,NEUTRAL,angry.mp4
2025-07-01T09:04:43.909416,video,NEUTRAL,angry.mp4
2025-07-01T09:04:44.023473,video,ANGRY,angry.mp4
2025-07-01T09:04:44.023473,video,NEUTRAL,angry.mp4
2025-07-01T09:04:44.107276,video,ANGRY,angry.mp4
2025-07-01T09:04:44.249002,video,NEUTRAL,angry.mp4
2025-07-01T09:04:44.249002,video,ANGRY,angry.mp4
2025-07-01T09:04:44.249002,video,NEUTRAL,angry.mp4
2025-07-01T09:04:44.332967,video,ANGRY,angry.mp4
2025-07-01T09:04:44.452572,video,NEUTRAL,angry.mp4
2025-07-01T09:04:44.452572,video,ANGRY,angry.mp4
2025-07-01T09:04:44.538553,video,ANGRY,angry.mp4
2025-07-01T09:04:44.649682,video,NEUTRAL,angry.mp4
2025-07-01T09:04:44.649682,video,ANGRY,angry.mp4
2025-07-01T09:04:44.735974,video,ANGRY,angry.mp4
2025-07-01T09:04:44.820838,video,ANGRY,angry.mp4
2025-07-01T09:04:44.907000,video,ANGRY,angry.mp4
2025-07-01T09:04:44.991347,video,ANGRY,angry.mp4
2025-07-01T09:04:45.108522,video,NEUTRAL,angry.mp4
2025-07-01T09:04:45.108522,video,ANGRY,angry.mp4
2025-07-01T09:04:45.230719,video,ANGRY,angry.mp4
2025-07-01T09:04:45.230719,video,NEUTRAL,angry.mp4
2025-07-01T09:04:45.319143,video,ANGRY,angry.mp4
2025-07-01T09:04:45.401443,video,ANGRY,angry.mp4
2025-07-01T15:56:46.152875,video,HAPPY,happy.mp4
2025-07-01T15:56:46.227617,video,HAPPY,happy.mp4
2025-07-01T15:56:46.299984,video,HAPPY,happy.mp4
2025-07-01T15:56:46.374889,video,HAPPY,happy.mp4
2025-07-01T15:56:46.446288,video,HAPPY,happy.mp4
2025-07-01T15:56:46.522203,video,HAPPY,happy.mp4
2025-07-01T15:56:46.599137,video,HAPPY,happy.mp4
2025-07-01T15:56:46.675262,video,HAPPY,happy.mp4
2025-07-01T15:56:46.751994,video,HAPPY,happy.mp4
2025-07-01T15:56:46.825530,video,HAPPY,happy.mp4
2025-07-01T15:56:46.901503,video,HAPPY,happy.mp4
2025-07-01T15:56:46.972969,video,HAPPY,happy.mp4
2025-07-01T15:56:47.050218,video,HAPPY,happy.mp4
2025-07-01T15:56:47.123676,video,HAPPY,happy.mp4
2025-07-01T15:56:47.199990,video,HAPPY,happy.mp4
2025-07-01T15:56:47.276359,video,HAPPY,happy.mp4
2025-07-01T15:56:47.353000,video,HAPPY,happy.mp4
2025-07-01T15:56:47.429265,video,HAPPY,happy.mp4
2025-07-01T15:56:47.500530,video,HAPPY,happy.mp4
2025-07-01T15:56:47.573954,video,HAPPY,happy.mp4
2025-07-01T15:56:47.648762,video,HAPPY,happy.mp4
2025-07-01T15:56:47.727214,video,HAPPY,happy.mp4
2025-07-01T15:56:47.801478,video,HAPPY,happy.mp4
2025-07-01T15:56:47.877766,video,HAPPY,happy.mp4
2025-07-01T15:56:47.958991,video,HAPPY,happy.mp4
2025-07-01T15:56:48.035992,video,HAPPY,happy.mp4
2025-07-01T15:56:48.111766,video,HAPPY,happy.mp4
2025-07-01T15:56:48.191725,video,HAPPY,happy.mp4
2025-07-01T15:56:48.268619,video,HAPPY,happy.mp4
2025-07-01T15:56:48.347816,video,HAPPY,happy.mp4
2025-07-01T15:56:48.459314,video,HAPPY,happy.mp4
2025-07-01T15:56:48.459314,video,NEUTRAL,happy.mp4
2025-07-01T15:56:48.567568,video,HAPPY,happy.mp4
